Time ((min)),Degree of Cure [z = 49.990 mm: Degree of Cure],Degree of Cure [z = 49.521 mm: Degree of Cure 1],Degree of Cure [z = 48.125 mm: Degree of Cure 2],Degree of Cure [z = 46.250 mm: Degree of Cure 3],Degree of Cure [z = 44.375 mm: Degree of Cure 4],Degree of Cure [z = 42.500 mm: Degree of Cure 5],Degree of Cure [z = 40.625 mm: Degree of Cure 6],Degree of Cure [z = 38.750 mm: Degree of Cure 7],Degree of Cure [z = 36.875 mm: Degree of Cure 8],Degree of Cure [z = 35.000 mm: Degree of Cure 9],Degree of Cure [z = 33.125 mm: Degree of Cure 10],Degree of Cure [z = 31.250 mm: Degree of Cure 11],Degree of Cure [z = 29.375 mm: Degree of Cure 12],Degree of Cure [z = 27.500 mm: Degree of Cure 13],Degree of Cure [z = 25.625 mm: Degree of Cure 14],Degree of Cure [z = 23.750 mm: Degree of Cure 15],Degree of Cure [z = 21.875 mm: Degree of Cure 16],Degree of Cure [z = 20.479 mm: Degree of Cure 17],Degree of Cure [z = 20.010 mm: Degree of Cure 18]
8.885034,0.050002042,0.050001327,0.050000793,0.050000423,0.05000025,0.050000162,0.050000114,0.050000087,0.050000071,0.050000061,0.050000055,0.050000051,0.050000049,0.050000048,0.050000048,0.05000005,0.050000053,0.050000057,0.050000058
9.17068075,0.050002482,0.050001608,0.050000953,0.050000502,0.050000291,0.050000185,0.050000129,0.050000097,0.050000078,0.050000066,0.050000059,0.050000055,0.050000052,0.050000051,0.050000052,0.050000054,0.050000057,0.050000061,0.050000062
9.3844025,0.050002864,0.050001853,0.050001094,0.05000057,0.050000327,0.050000206,0.050000141,0.050000105,0.050000084,0.050000071,0.050000063,0.050000058,0.050000055,0.050000054,0.050000054,0.050000056,0.05000006,0.050000064,0.050000066
9.63779925,0.050003388,0.050002191,0.050001287,0.050000664,0.050000375,0.050000233,0.050000158,0.050000116,0.050000091,0.050000077,0.050000067,0.050000062,0.050000058,0.050000057,0.050000058,0.05000006,0.050000064,0.050000069,0.050000071
9.85054925,0.050003891,0.050002518,0.050001474,0.050000754,0.050000421,0.050000258,0.050000173,0.050000126,0.050000099,0.050000082,0.050000071,0.050000065,0.050000062,0.05000006,0.050000061,0.050000063,0.050000068,0.050000073,0.050000075
10.103371,0.050004574,0.050002965,0.050001732,0.050000878,0.050000485,0.050000293,0.050000194,0.050000139,0.050000108,0.050000089,0.050000077,0.05000007,0.050000066,0.050000064,0.050000065,0.050000067,0.050000072,0.050000078,0.05000008
10.3593427,0.050005368,0.050003488,0.050002035,0.050001024,0.050000559,0.050000334,0.050000218,0.050000155,0.050000118,0.050000096,0.050000083,0.050000075,0.05000007,0.050000068,0.050000069,0.050000072,0.050000077,0.050000083,0.050000086
10.5704895,0.05000611,0.050003983,0.050002324,0.050001163,0.050000629,0.050000372,0.05000024,0.050000169,0.050000128,0.050000103,0.050000089,0.05000008,0.050000074,0.050000072,0.050000073,0.050000076,0.050000082,0.050000088,0.050000091
10.825912,0.050007118,0.050004661,0.050002723,0.050001356,0.050000726,0.050000424,0.050000271,0.050000188,0.050000141,0.050000113,0.050000096,0.050000086,0.05000008,0.050000077,0.050000078,0.050000081,0.050000087,0.050000095,0.050000098
11.0613112,0.050008166,0.050005375,0.050003147,0.050001562,0.05000083,0.050000479,0.050000302,0.050000208,0.050000154,0.050000122,0.050000103,0.050000092,0.050000085,0.050000082,0.050000083,0.050000086,0.050000093,0.050000101,0.050000105
11.292033,0.05000931,0.050006162,0.05000362,0.050001793,0.050000946,0.050000541,0.050000338,0.050000229,0.050000169,0.050000133,0.050000111,0.050000098,0.050000091,0.050000088,0.050000088,0.050000092,0.0500001,0.050000108,0.050000112
11.5281797,0.050010609,0.050007068,0.050004171,0.050002064,0.050001082,0.050000613,0.050000379,0.050000254,0.050000185,0.050000145,0.05000012,0.050000106,0.050000097,0.050000094,0.050000094,0.050000098,0.050000107,0.050000116,0.05000012
11.8140765,0.050012366,0.05000831,0.050004936,0.050002445,0.050001273,0.050000714,0.050000436,0.050000289,0.050000208,0.050000161,0.050000133,0.050000116,0.050000106,0.050000102,0.050000102,0.050000106,0.050000116,0.050000126,0.050000131
12.0268265,0.050013808,0.050009342,0.050005581,0.05000277,0.050001437,0.0500008,0.050000484,0.050000318,0.050000227,0.050000174,0.050000143,0.050000124,0.050000113,0.050000108,0.050000108,0.050000113,0.050000123,0.050000135,0.05000014
12.2796482,0.050015687,0.050010703,0.050006444,0.05000321,0.05000166,0.050000917,0.050000549,0.050000357,0.050000252,0.050000192,0.050000156,0.050000135,0.050000122,0.050000117,0.050000117,0.050000122,0.050000133,0.050000146,0.050000152
12.49337,0.050017412,0.050011968,0.050007258,0.05000363,0.050001874,0.050001029,0.050000611,0.050000394,0.050000276,0.050000208,0.050000168,0.050000145,0.050000131,0.050000125,0.050000125,0.05000013,0.050000142,0.050000156,0.050000162
12.7467667,0.050019636,0.050013617,0.050008334,0.050004196,0.050002163,0.050001181,0.050000695,0.050000444,0.050000308,0.05000023,0.050000185,0.050000158,0.050000142,0.050000135,0.050000135,0.050000141,0.050000154,0.050000169,0.050000176
13.0021892,0.05002207,0.050015444,0.050009546,0.050004843,0.050002498,0.050001356,0.050000792,0.050000502,0.050000344,0.050000255,0.050000203,0.050000172,0.050000155,0.050000147,0.050000146,0.050000152,0.050000167,0.050000184,0.050000192
13.2123385,0.050024232,0.050017083,0.050010649,0.050005442,0.050002811,0.050001521,0.050000883,0.050000555,0.050000378,0.050000278,0.05000022,0.050000186,0.050000166,0.050000157,0.050000156,0.050000163,0.050000179,0.050000198,0.050000206
13.4683102,0.050027053,0.050019243,0.050012122,0.050006257,0.05000324,0.050001748,0.050001008,0.050000628,0.050000424,0.05000031,0.050000243,0.050000204,0.050000182,0.050000171,0.05000017,0.050000177,0.050000195,0.050000215,0.050000224
13.704457,0.050029853,0.050021407,0.050013621,0.050007101,0.050003692,0.050001988,0.05000114,0.050000705,0.050000472,0.050000342,0.050000267,0.050000222,0.050000197,0.050000185,0.050000184,0.050000192,0.050000211,0.050000234,0.050000244
13.9348795,0.050032768,0.050023679,0.050015214,0.050008016,0.050004187,0.050002253,0.050001286,0.05000079,0.050000525,0.050000378,0.050000293,0.050000243,0.050000214,0.050000201,0.050000199,0.050000207,0.050000228,0.050000253,0.050000264
14.1702787,0.050035942,0.050026172,0.050016985,0.050009051,0.050004756,0.050002559,0.050001454,0.050000888,0.050000586,0.050000419,0.050000322,0.050000266,0.050000234,0.050000218,0.050000215,0.050000225,0.050000248,0.050000276,0.050000288
14.4010005,0.050039248,0.050028786,0.050018862,0.050010169,0.050005379,0.050002898,0.050001642,0.050000997,0.050000654,0.050000463,0.050000354,0.050000291,0.050000255,0.050000237,0.050000234,0.050000244,0.050000269,0.0500003,0.050000313
14.6696472,0.050043351,0.050032051,0.050021235,0.050011609,0.050006196,0.050003346,0.05000189,0.050001141,0.050000743,0.050000523,0.050000397,0.050000323,0.050000282,0.050000262,0.050000258,0.050000269,0.050000297,0.050000331,0.050000346
14.923044,0.05004748,0.050035358,0.050023667,0.050013113,0.050007065,0.050003829,0.05000216,0.050001297,0.050000839,0.050000586,0.050000442,0.050000358,0.050000311,0.050000288,0.050000283,0.050000295,0.050000326,0.050000364,0.050000381
15.135794,0.050051141,0.050038304,0.050025851,0.050014487,0.050007872,0.050004283,0.050002414,0.050001445,0.05000093,0.050000646,0.050000485,0.050000391,0.050000338,0.050000312,0.050000306,0.050000319,0.050000353,0.050000395,0.050000413
15.3886157,0.050055742,0.050042022,0.050028632,0.050016264,0.050008934,0.050004888,0.050002756,0.050001644,0.050001052,0.050000727,0.050000542,0.050000435,0.050000374,0.050000344,0.050000337,0.050000351,0.050000389,0.050000435,0.050000455
